二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),五氧化二磷(P2O5)
69.33,0,9.99,6.32,3.93,1.74,3.87,1.17
87.05,0,5.19,2.01,4.06,0,0.78,0.66
61.71,0,12.37,5.87,5.5,2.16,5.09,0.7
65.88,0,9.67,7.12,6.44,2.06,2.18,0.79
61.58,0,10.95,7.35,7.5,2.62,3.27,0.94
67.65,0,7.37,0,11.15,2.39,2.51,4.18
59.81,0,7.68,5.41,10.05,6.04,2.18,4.5
92.63,0,0,1.07,1.98,0.17,3.24,0.61
95.02,0,0.59,0.62,1.32,0.32,1.55,0.35
96.77,0,0.92,0.21,0.81,0.26,0.84,0
94.29,0,1.01,0.72,1.46,0.29,1.65,0.15
59.01,2.86,12.53,8.7,6.16,2.88,4.73,1.27
62.47,3.38,12.28,8.23,9.23,0.5,0.47,0.16
65.18,2.1,14.52,8.27,6.18,0.42,1.07,0
79.46,0,9.42,0,3.05,0,0,1.36
76.68,0,0,4.71,6.19,2.37,3.28,1.1
92.35,0,0.74,1.66,3.5,0.35,0.55,0.21
92.72,0,0,0.94,2.51,0.2,1.54,0.36
